ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2021-12-28T20:18:07Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.0.56,unknown,Driksa,Audrey Fall,Mitau,spotify:track:2u8L99W3Hfgtciqx1dB6tg,,,,fwdbtn,fwdbtn,true,,false,1640722684704,false
2021-12-28T20:18:08Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.0.56,unknown,Bungle in the Jungle - 2002 Remaster,Jethro Tull,War Child,spotify:track:1IQAsCKoXsEJ7tdI0dxTqT,,,,fwdbtn,fwdbtn,true,,false,1640722685833,false
2021-12-28T20:18:10Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",0,BR,177.51.0.56,unknown,Space Lord,Monster Magnet,Powertrip,spotify:track:09bkkXFpOVi3aPLvByyWD5,,,,fwdbtn,fwdbtn,true,,false,1640722686805,false
2021-12-28T20:18:13Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",2634,BR,177.51.0.56,unknown,Uluru Rock,Earthless,From the Ages,spotify:track:6NitnfUkmFWyCvvi9zUZmu,,,,fwdbtn,fwdbtn,true,,false,1640722688347,false
2021-12-28T20:23:45Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",282106,BR,177.51.0.56,unknown,King of the Road,Fu Manchu,Go for It...Live!,spotify:track:01dkRteeinmaYYaVbGZhcC,,,,fwdbtn,trackdone,true,,false,1640722691380,false
2021-12-28T20:27:45Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",235840,BR,177.51.0.56,unknown,That's When I Reach for My Revolver,Moby,Animal Rights,spotify:track:7BpQm6c5r1tkj9eFzo3B8T,,,,trackdone,trackdone,true,,false,1640722973397,false
2021-12-28T20:29:47Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",174026,BR,177.51.0.56,unknown,Little Sister,Queens of the Stone Age,Lullabies To Paralyze,spotify:track:1rzYrkxgRuLLJDqWdB32pK,,,,trackdone,trackdone,true,,false,1640723209633,false
2021-12-28T20:32:41Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",174338,BR,177.51.0.56,unknown,Не твоя смерть,Animal Jazz,Легенды русского рока,spotify:track:6TfqZfuEzhDEcppqTkVAgP,,,,trackdone,trackdone,true,,false,1640723384229,false
2021-12-28T21:55:40Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",248307,BR,177.37.172.105,unknown,Clement,The Dead Pirates,Highmare,spotify:track:0gZledHxMOU9mcsVeW9NmF,,,,trackdone,logout,true,,false,1640723559026,false
2021-12-28T21:55:53Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",3336,BR,177.37.172.105,unknown,"Slow Down - 12"" Version",Bobby V.,Disturbing Tha Peace Presents Bobby Valentino,spotify:track:4Ilen0VxPEsVRLpnePji8P,,,,playbtn,fwdbtn,true,,false,1640728547756,false
2021-12-28T21:55:54Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",23,BR,177.37.172.105,unknown,Give It to Me,HOMESHAKE,Midnight Snack,spotify:track:02sPuecm24k5cekMMH5JCW,,,,fwdbtn,fwdbtn,true,,false,1640728551466,false
2021-12-28T21:55:55Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",61,BR,177.37.172.105,unknown,Chocolate,The 1975,The 1975,spotify:track:4WiiRw2PHMNQE0ad6y6GdD,,,,fwdbtn,fwdbtn,true,,false,1640728553012,false
2021-12-28T21:55:57Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",557,BR,177.37.172.105,unknown,I Feel You,Depeche Mode,Songs of Faith and Devotion (Deluxe),spotify:track:2M0SsKN720GGXcCqhB96LX,,,,fwdbtn,fwdbtn,true,,false,1640728554014,false
2021-12-28T21:58:05Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",127920,BR,177.37.172.105,unknown,Intro,The xx,xx,spotify:track:2usrT8QIbIk9y0NEtQwS4j,,,,fwdbtn,trackdone,true,,false,1640728555324,false
2021-12-28T22:00:19Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",129410,BR,177.37.172.105,unknown,Положение - 2 Remix,Dior,Положение,spotify:track:6DMuMv4IzCpRo6zGTwkbW5,,,,trackdone,trackdone,true,,false,1640728682903,false
2021-12-28T22:04:18Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",229579,BR,177.37.172.105,unknown,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Ordinary Man,spotify:track:3k4QmEFuzlnhgxT3qstcir,,,,trackdone,trackdone,true,,false,1640728817455,false
2021-12-28T22:08:36Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",205600,BR,177.37.172.105,unknown,Easy Does It,Wildstreet,Easy Does It,spotify:track:1ZCBORA4hOTX9dUcpSnW7M,,,,trackdone,trackdone,true,,false,1640729047480,false
2021-12-28T22:13:15Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",216320,BR,177.37.172.105,unknown,The Less I Know The Better,Tame Impala,Currents,spotify:track:6K4t31amVTZDgR3sKmwUJJ,,,,trackdone,trackdone,true,,false,1640729253503,false
2021-12-29T02:25:39Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",116640,BR,177.51.2.168,unknown,Schism,TOOL,Lateralus,spotify:track:55mJleti2WfWEFNFcBduhc,,,,trackdone,unexpected-exit-while-paused,true,,false,1640729470289,false
2021-12-29T02:30:40Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",266440,BR,177.51.2.168,unknown,Xote Dos Milagres,Falamansa,Deixa Entrar...,spotify:track:3uCg5JVHl2E6i8gFJxUjsp,,,,playbtn,trackdone,true,,false,1640744766908,false
2021-12-29T02:34:43Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",248080,BR,177.51.2.168,unknown,Amiga Da Minha Mulher,Seu Jorge,Músicas Para Churrasco,spotify:track:4t4oqMSwwmpHzQIu1aok1z,,,,trackdone,trackdone,true,,false,1640745032957,false
2021-12-29T02:35:45Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",60370,BR,177.51.2.168,unknown,Basta voce me ligar - English Version,Kim Sola,Basta voce me ligar,spotify:track:5EfgKMxr7p8JWPliwY2hBp,,,,trackdone,fwdbtn,true,,false,1640745281531,false
2021-12-29T02:35:46Z,xngnm3j4vjni403oma295la0j,"Android-tablet OS 11 API 30 (samsung, SM-M526B)",1196,BR,177.51.2.168,unknown,Eu Não Sou Boa Influência pra Você,Seu Pereira e Coletivo 401,Eu Não Sou Boa Influência pra Você,spotify:track:7tvs73kxuO0efkasLS6sTT,,,,fwdbtn,fwdbtn,true,,false,1640745343293,false
